service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,1,0,20181126,20190217
2,0,0,0,0,0,0,1,20181126,20190217
3,1,1,1,1,1,0,0,20181126,20190217
6302,0,0,0,0,0,0,0,20181126,20190217
6902,0,0,0,0,0,0,0,20181126,20190217
12403,0,0,0,0,0,0,0,20181126,20190217
12503,0,0,0,0,0,0,0,20181126,20190217
12703,0,0,0,0,0,0,0,20181126,20190217
12603,0,0,0,0,0,0,0,20181126,20190217
12903,0,0,0,0,0,0,0,20181126,20190217
12803,0,0,0,0,0,0,0,20181126,20190217
