index,time_taken
0,4.4074928760528564
1,4.01965856552124
2,3.9840805530548096
3,5.433833360671997
4,4.469521999359131
5,4.6778035163879395
6,4.324092149734497
7,4.27997088432312
8,4.920721769332886
9,4.99970555305481
10,4.762200117111206
11,4.764826536178589
12,4.786386251449585
13,4.325788736343384
14,5.46757960319519
15,4.909199237823486
16,4.33837890625
17,4.398712396621704
18,4.855271339416504
19,4.610112428665161
20,3.979572296142578
21,4.133617877960205
22,4.539955377578735
23,5.375730752944946
24,4.564757347106934
25,4.449002981185913
26,4.621297359466553
27,3.717691421508789
28,4.603572845458984
29,4.0672829151153564
30,3.9729433059692383
31,4.7532312870025635
32,4.530519962310791
33,4.606004238128662
34,3.8595378398895264
35,4.019235610961914
36,4.476530075073242
37,4.539717435836792
38,4.692192077636719
39,3.808682918548584
40,4.771651983261108
41,3.951709508895874
42,3.992898941040039
43,5.110375165939331
44,5.104791164398193
45,4.800939321517944
46,4.627783298492432
47,4.629103183746338
48,4.201032876968384
49,4.7611589431762695
50,4.9688050746917725
51,4.312809467315674
52,4.795576572418213
53,4.403223514556885
54,5.373483896255493
55,5.074089288711548
56,4.940695762634277
57,4.587377309799194
58,4.384047985076904
59,4.26341700553894
60,4.270397424697876
61,4.521061897277832
62,4.793707847595215
63,4.225756645202637
64,5.350764274597168
65,4.333500623703003
66,4.956216335296631
67,4.753231763839722
68,3.9883534908294678
69,4.741559743881226
70,4.147677659988403
71,3.4361746311187744
72,4.6356189250946045
73,3.911083221435547
74,4.689951181411743
75,4.503390789031982
76,4.935574293136597
77,4.583003520965576
78,4.803050518035889
79,5.198481321334839
80,4.621293544769287
81,3.8136425018310547
82,4.331366062164307
83,4.825192451477051
84,4.983667373657227
85,4.19760274887085
86,4.464686632156372
87,4.856713533401489
88,4.494977235794067
89,3.8969554901123047
90,3.6283490657806396
91,4.7446067333221436
92,4.739032506942749
93,4.450294733047485
94,5.1727588176727295
95,4.919427394866943
96,5.0732011795043945
97,4.7763142585754395
98,5.032005548477173
99,4.559551239013672
