index,time_taken
0,0.5261740684509277
1,0.4359409809112549
2,0.3815958499908447
3,0.5286478996276855
4,0.5898349285125732
5,0.3333430290222168
6,0.36261558532714844
7,0.464996337890625
8,0.3711521625518799
9,0.5610594749450684
10,0.6919949054718018
11,0.5200636386871338
12,0.38210487365722656
13,0.41805028915405273
14,0.2758915424346924
15,0.42710137367248535
16,0.5644793510437012
17,0.35134220123291016
18,0.40889787673950195
19,0.6052117347717285
20,0.39110589027404785
21,0.4870872497558594
22,0.5274763107299805
23,0.6258513927459717
24,0.48294568061828613
25,0.5586445331573486
26,0.3090488910675049
27,0.3798182010650635
28,0.4068729877471924
29,0.42922043800354004
30,0.3426229953765869
31,0.667569637298584
32,0.1842489242553711
33,0.2834780216217041
34,0.34485435485839844
35,0.38862085342407227
36,0.342972993850708
37,0.3949871063232422
38,0.3606722354888916
39,0.5380599498748779
40,0.5695316791534424
41,0.7018542289733887
42,0.5694715976715088
43,0.48882627487182617
44,0.5307176113128662
45,0.28635597229003906
46,0.5393726825714111
47,0.4720907211303711
48,0.5443379878997803
49,0.2912178039550781
50,0.4620640277862549
51,0.4095335006713867
52,0.5838792324066162
53,0.519251823425293
54,0.36086273193359375
55,0.3894660472869873
56,0.49497294425964355
57,0.3475477695465088
58,0.44693803787231445
59,0.4206860065460205
60,0.7615456581115723
61,0.32913708686828613
62,0.2414073944091797
63,0.449873685836792
64,0.19506335258483887
65,0.27420997619628906
66,0.5763163566589355
67,0.35596299171447754
68,0.3380434513092041
69,0.21901321411132812
70,0.4729115962982178
71,0.5977315902709961
72,0.45137810707092285
73,0.3787679672241211
74,0.7160210609436035
75,0.6971383094787598
76,0.3129091262817383
77,0.3430788516998291
78,0.5211608409881592
79,0.36749792098999023
80,0.5329694747924805
81,0.433823823928833
82,0.3858935832977295
83,0.43278026580810547
84,0.48097848892211914
85,0.30715513229370117
86,0.36435890197753906
87,0.48594045639038086
88,0.6466841697692871
89,0.3989999294281006
90,0.5166349411010742
91,0.6544191837310791
92,0.38538408279418945
93,0.5660305023193359
94,0.5102343559265137
95,0.46733784675598145
96,0.5780315399169922
97,0.41332077980041504
98,0.4144313335418701
99,0.4193744659423828
